Ean,ImageSize,ImageSourceUrl,EanUrl,FullEanUrl,IpfsHash,IpfsUrl
9780312937737,s,https://covers.openlibrary.org/b/id/2371851-S.jpg,9780312937737_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780312937737_s.jpg,QmZa8oy479BtN8RUY3ATPD7irQaPeBa2GhHt3Ek4zgFrYX,https://ipfs.infura.io/ipfs/QmZa8oy479BtN8RUY3ATPD7irQaPeBa2GhHt3Ek4zgFrYX
9780312937737,m,https://covers.openlibrary.org/b/id/2371851-M.jpg,9780312937737_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780312937737_m.jpg,QmTvJUfgJkBGciuPQJryf8sKVaRFSPTnHBW5MeaStUVjPz,https://ipfs.infura.io/ipfs/QmTvJUfgJkBGciuPQJryf8sKVaRFSPTnHBW5MeaStUVjPz
9780312937737,l,https://covers.openlibrary.org/b/id/2371851-L.jpg,9780312937737_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780312937737_l.jpg,Qme2bCWWiGk1Hrgy9Zzv8kcdG8TUkbPcDPTuShE3Rk6FYY,https://ipfs.infura.io/ipfs/Qme2bCWWiGk1Hrgy9Zzv8kcdG8TUkbPcDPTuShE3Rk6FYY
9780394873336,s,https://covers.openlibrary.org/b/id/6378017-S.jpg,9780394873336_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780394873336_s.jpg,QmTjLv5Z1MJdW5hiELBgoGuPdBiT4zksPmx82kg3mfzTaQ,https://ipfs.infura.io/ipfs/QmTjLv5Z1MJdW5hiELBgoGuPdBiT4zksPmx82kg3mfzTaQ
9780394873336,m,https://covers.openlibrary.org/b/id/6378017-M.jpg,9780394873336_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780394873336_m.jpg,QmVhsqTxrqB7BdtmFBMttvaoQg3exahE3ES1sxL9uJjGAn,https://ipfs.infura.io/ipfs/QmVhsqTxrqB7BdtmFBMttvaoQg3exahE3ES1sxL9uJjGAn
9780394873336,l,https://covers.openlibrary.org/b/id/6378017-L.jpg,9780394873336_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780394873336_l.jpg,QmWw643cfn8VB66zfBdnnftoVxuJu9dN6yXQQhL6638XFN,https://ipfs.infura.io/ipfs/QmWw643cfn8VB66zfBdnnftoVxuJu9dN6yXQQhL6638XFN
9780062065384,s,https://covers.openlibrary.org/b/id/8367526-S.jpg,9780062065384_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062065384_s.jpg,QmfJ5nKWieEvdoEVS8eTSa5URK2LcQVB69nA1JaoxaD7eQ,https://ipfs.infura.io/ipfs/QmfJ5nKWieEvdoEVS8eTSa5URK2LcQVB69nA1JaoxaD7eQ
9780062065384,m,https://covers.openlibrary.org/b/id/8367526-M.jpg,9780062065384_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062065384_m.jpg,QmVdvN3mPFoMs1agnPpX7ApmtTbSfPLcHWjNeRzXvJJPCq,https://ipfs.infura.io/ipfs/QmVdvN3mPFoMs1agnPpX7ApmtTbSfPLcHWjNeRzXvJJPCq
9780062065384,l,https://covers.openlibrary.org/b/id/8367526-L.jpg,9780062065384_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062065384_l.jpg,QmWtbsZr9tt7TstXagATx7NkqZvYbaKt1SyBUhbGynSbit,https://ipfs.infura.io/ipfs/QmWtbsZr9tt7TstXagATx7NkqZvYbaKt1SyBUhbGynSbit
9780062933744,s,https://covers.openlibrary.org/b/id/9145782-S.jpg,9780062933744_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062933744_s.jpg,QmPgYJThMLZAxQPvuvz3n46NgY5ULpG2AiFrE7dSPmwsCN,https://ipfs.infura.io/ipfs/QmPgYJThMLZAxQPvuvz3n46NgY5ULpG2AiFrE7dSPmwsCN
9780062933744,m,https://covers.openlibrary.org/b/id/9145782-M.jpg,9780062933744_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062933744_m.jpg,QmcUJ2QEQQ1huW8KfZj6cgZJ6FqU6pFjjCdZYWBRa5TZv6,https://ipfs.infura.io/ipfs/QmcUJ2QEQQ1huW8KfZj6cgZJ6FqU6pFjjCdZYWBRa5TZv6
9780062933744,l,https://covers.openlibrary.org/b/id/9145782-L.jpg,9780062933744_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062933744_l.jpg,QmUcMfsH9YodGEpWFVsFkkqN9fC3s5UZFnfg67Z6ZSacGp,https://ipfs.infura.io/ipfs/QmUcMfsH9YodGEpWFVsFkkqN9fC3s5UZFnfg67Z6ZSacGp
9780439903547,s,https://covers.openlibrary.org/b/id/6374136-S.jpg,9780439903547_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780439903547_s.jpg,QmWt5DTXDiF35owHfLkYSYH9J2vtWr5yVsNtyA1u5g1ysE,https://ipfs.infura.io/ipfs/QmWt5DTXDiF35owHfLkYSYH9J2vtWr5yVsNtyA1u5g1ysE
9780439903547,m,https://covers.openlibrary.org/b/id/6374136-M.jpg,9780439903547_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780439903547_m.jpg,QmcpYBL9GPtLK4cd62DWoSg3frsyjoJzxGnZbxxFzCswVP,https://ipfs.infura.io/ipfs/QmcpYBL9GPtLK4cd62DWoSg3frsyjoJzxGnZbxxFzCswVP
9780439903547,l,https://covers.openlibrary.org/b/id/6374136-L.jpg,9780439903547_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780439903547_l.jpg,QmXDjUSmr5NUvuAvi38r8XVHE6QCrrGR99KWG512q41XVV,https://ipfs.infura.io/ipfs/QmXDjUSmr5NUvuAvi38r8XVHE6QCrrGR99KWG512q41XVV
9780385742382,s,https://covers.openlibrary.org/b/id/8762166-S.jpg,9780385742382_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780385742382_s.jpg,QmbvJgcEm55pEcTTtB8Z8SRwPtFSSgLXH8h8mMHK6MoWkc,https://ipfs.infura.io/ipfs/QmbvJgcEm55pEcTTtB8Z8SRwPtFSSgLXH8h8mMHK6MoWkc
9780385742382,m,https://covers.openlibrary.org/b/id/8762166-M.jpg,9780385742382_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780385742382_m.jpg,QmTmhvBzqNS5KjnmNS3NgQMuy7o1EVcRef2jhBArjy9oDz,https://ipfs.infura.io/ipfs/QmTmhvBzqNS5KjnmNS3NgQMuy7o1EVcRef2jhBArjy9oDz
9780385742382,l,https://covers.openlibrary.org/b/id/8762166-L.jpg,9780385742382_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780385742382_l.jpg,QmPTzQh6kJxHLEmiKvzAguvNZ7NzXrHpip1fYBT4izxYBc,https://ipfs.infura.io/ipfs/QmPTzQh6kJxHLEmiKvzAguvNZ7NzXrHpip1fYBT4izxYBc
9780399574573,s,https://covers.openlibrary.org/b/id/8748168-S.jpg,9780399574573_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399574573_s.jpg,QmfKLirZw8i2PtM2QeRyzQFzHx3fDxcFNoyFN92sKJpHM8,https://ipfs.infura.io/ipfs/QmfKLirZw8i2PtM2QeRyzQFzHx3fDxcFNoyFN92sKJpHM8
9780399574573,m,https://covers.openlibrary.org/b/id/8748168-M.jpg,9780399574573_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399574573_m.jpg,QmeTTtzL2Gzyg5Sz5z2zXA9ySiw4wHWHUYedJN4BQ8aTbD,https://ipfs.infura.io/ipfs/QmeTTtzL2Gzyg5Sz5z2zXA9ySiw4wHWHUYedJN4BQ8aTbD
9780399574573,l,https://covers.openlibrary.org/b/id/8748168-L.jpg,9780399574573_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780399574573_l.jpg,QmYVsdCbd6nRduGCQ4Hegcp8GAwBrbqZ6QL1rLdsqUpCWd,https://ipfs.infura.io/ipfs/QmYVsdCbd6nRduGCQ4Hegcp8GAwBrbqZ6QL1rLdsqUpCWd
9780062392190,s,https://covers.openlibrary.org/b/id/8737566-S.jpg,9780062392190_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062392190_s.jpg,QmbPTzngcTmBzbJCzeEgEdrjHn8fJRs69mMeFdTAKWDqRf,https://ipfs.infura.io/ipfs/QmbPTzngcTmBzbJCzeEgEdrjHn8fJRs69mMeFdTAKWDqRf
9780062392190,m,https://covers.openlibrary.org/b/id/8737566-M.jpg,9780062392190_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062392190_m.jpg,QmegXVcEm7628rkc6FsAZCtuPB2xZRCv96iz6B44qkwNyj,https://ipfs.infura.io/ipfs/QmegXVcEm7628rkc6FsAZCtuPB2xZRCv96iz6B44qkwNyj
9780062392190,l,https://covers.openlibrary.org/b/id/8737566-L.jpg,9780062392190_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062392190_l.jpg,QmS7Uugh4V29i8VFig2hS9qjKWmv8abLNgDwEGNfp6G4Ya,https://ipfs.infura.io/ipfs/QmS7Uugh4V29i8VFig2hS9qjKWmv8abLNgDwEGNfp6G4Ya
