EAN|TITLE|PUB_NAME|PUB_DATE|AUTHOR|PAGE_NUM|SUBJECT_TIME|SUBJECT|WEIGHT|COVER_SMALL|COVER_LARGE|COVER_MED|AGE_MIN|AGE_MAX|ADULT_FLAG|DEWEW_NUM|DEPTH|WIDTH|LENGTH|PRICE|PUBLIC_DOMAIN_FLAG|PUB_COUNTRY_CD|US_RIGHTS_IND|BISAC_SUBJ_CD
9780385543781|The Testaments|Nan A. Talese/Doubleday, a division of Penguin Random House LLC|2019|Margaret Atwood|||||https://covers.openlibrary.org/b/id/8779557-S.jpg|https://covers.openlibrary.org/b/id/8779557-L.jpg|https://covers.openlibrary.org/b/id/8779557-M.jpg|||||1.49|6.4|9.52|28.95|||N|FIC055000
9780399161940|Wreck This Journal To Create Is To Destroy|Perigee Books|2012|Keri Smith|||Authorship||https://covers.openlibrary.org/b/id/7586324-S.jpg|https://covers.openlibrary.org/b/id/7586324-L.jpg|https://covers.openlibrary.org/b/id/7586324-M.jpg|18|18||153.35|0.65|5.47|7.13|15|||N|SEL009000
9780316486637|Catch and Kill|Little, Brown and Company|2019|Ronan Farrow|||||https://covers.openlibrary.org/b/id/9010207-S.jpg|https://covers.openlibrary.org/b/id/9010207-L.jpg|https://covers.openlibrary.org/b/id/9010207-M.jpg|||||1.37|6.37|9.5|30|||N|TRU001000
9780440419518|His Dark Materials Trilogy|Yearling|May 27, 2003|Philip Pullman|||||https://covers.openlibrary.org/b/id/282724-S.jpg|https://covers.openlibrary.org/b/id/282724-L.jpg|https://covers.openlibrary.org/b/id/282724-M.jpg|12|17||378.12|3.31|5.25|7.75|26.97|||N|JUV037000
9780425284704|Before We Were Yours|Ballantine Books|May 21, 2019|Lisa Wingate|368||Orphanages||https://covers.openlibrary.org/b/id/8794498-S.jpg|https://covers.openlibrary.org/b/id/8794498-L.jpg|https://covers.openlibrary.org/b/id/8794498-M.jpg|||||0.78|5.2|8|17|||N|FIC014000
9780399179440|Spy|Delacorte Press|2019|Danielle Steel|||||https://covers.openlibrary.org/b/id/9154346-S.jpg|https://covers.openlibrary.org/b/id/9154346-L.jpg|https://covers.openlibrary.org/b/id/9154346-M.jpg|||||1.16|6.39|9.55|28.99|||N|FIC014050
9780062654199|The Alice network||2017|Kate Quinn|503||World War, 1914-1918||||||||813.6|0.89|5.31|8|16.99|||N|FIC014040
9780142408766|Little Women (Puffin Classics)|Puffin|March 27, 2008|Louisa May Alcott|816|19th century|Fiction||https://covers.openlibrary.org/b/id/2325048-S.jpg|https://covers.openlibrary.org/b/id/2325048-L.jpg|https://covers.openlibrary.org/b/id/2325048-M.jpg|10|14||813/.4|1.37|5.06|7|8.99|||N|JUV007000
9780446310789|The New York Times: A Classic Turns 50, and Parties Are Planned|Warner Books|1982|Harper Lee|281|1933-35|racial segregation||https://covers.openlibrary.org/b/id/8411109-S.jpg|https://covers.openlibrary.org/b/id/8411109-L.jpg|https://covers.openlibrary.org/b/id/8411109-M.jpg||||FIC.|1|4.25|6.75|8.99|||N|FIC004000
9780345535528|Game Of Thrones 5copy Box|Bantam|2012|George R.R. Martin|||winter||https://covers.openlibrary.org/b/id/7464532-S.jpg|https://covers.openlibrary.org/b/id/7464532-L.jpg|https://covers.openlibrary.org/b/id/7464532-M.jpg|||||4.27|6.97|8.48|49.95|||N|FIC009020
9780062820150|Magnolia Table: A Collection of Recipes for Gathering|William Morrow Cookbooks|Apr 24, 2018|Joanna Gaines|336||Southern style||https://covers.openlibrary.org/b/id/8315364-S.jpg|https://covers.openlibrary.org/b/id/8315364-L.jpg|https://covers.openlibrary.org/b/id/8315364-M.jpg|||||1.17|8|10|29.99|||N|CKB029000
9780062498533|Books, Angie Thomas|Balzer + Bray, an imprint of HarperCollinsPublishers|2017|Angie Thomas|444|21st century|Fiction||https://covers.openlibrary.org/b/id/8047722-S.jpg|https://covers.openlibrary.org/b/id/8047722-L.jpg|https://covers.openlibrary.org/b/id/8047722-M.jpg|14|17|||1.41|5.5|8.25|18.99|||N|YAF046120
9780062457714|The Subtle Art of Not Giving A FUCK|Harper One|2016|Mark Manson|||Internet Archive Wishlist||https://covers.openlibrary.org/b/id/7907459-S.jpg|https://covers.openlibrary.org/b/id/7907459-L.jpg|https://covers.openlibrary.org/b/id/7907459-M.jpg||||158.1|0.81|5.5|8.25|26.99|||N|SEL021000
