EAN|DESCRIPTION
9780451499219|<p><b>Modern weaving projects like you've never seen&mdash;within easy reach of anyone. </b>Weaving is a satisfying hobby for making home or clothing accessories that look plucked from your favorite stores. Here are Pinterest-worthy projects for creating earrings, clutches, pillows, wall hangings, and more, all organized by skill level. From complete beginner to intermediate, Weaving Within Reach allows you to craft at your comfort level, even if you don&rsquo;t yet know the difference between the warp and the weft. <br><br>Lacking a loom? Most of the materials can be woven on found objects&mdash;such as an embroidery hoop or cardboard box&mdash;or achieved with a simple over-under pattern using no loom at all. As you progress, there are plenty of exciting designs for a frame loom to keep you inspired. With a detailed introduction, stunning lifestyle and step-by-step photographs, and a helpful resource section, Weaving Within Reach unravels the possibilities of the beautiful things you can make with your hands.</p>
9780739477076|<p><b>Modern weaving projects like you've never seen&mdash;within easy reach of anyone. </b>Weaving is a satisfying hobby for making home or clothing accessories that look plucked from your favorite stores. Here are Pinterest-worthy projects for creating earrings, clutches, pillows, wall hangings, and more, all organized by skill level. From complete beginner to intermediate, Weaving Within Reach allows you to craft at your comfort level, even if you don&rsquo;t yet know the difference between the warp and the weft. <br><br>Lacking a loom? Most of the materials can be woven on found objects&mdash;such as an embroidery hoop or cardboard box&mdash;or achieved with a simple over-under pattern using no loom at all. As you progress, there are plenty of exciting designs for a frame loom to keep you inspired. With a detailed introduction, stunning lifestyle and step-by-step photographs, and a helpful resource section, Weaving Within Reach unravels the possibilities of the beautiful things you can make with your hands.</p>
9780062850188|<p><strong>A grand baronial house on Loch Ness, a quirky small-town bookseller, and a single mom looking for a fresh start all come together in this witty and warm-hearted novel by <em>New York Times</em> bestselling author Jenny Colgan.</br></strong></br></p><p>Desperate to escape from London, single mother Zoe wants to build a new life for herself and her four year old son Hari.&#160;She can barely afford the crammed studio apartment on a busy street where shouting football fans keep them awake all night. Hari&#8217;s dad, Jaz, a charismatic but perpetually broke DJ, is no help at all. But his sister Surinder comes to Zoe&#8217;s aid, hooking her up with a job as far away from the urban crush as possible&#58; a bookshop on the banks of Loch Ness. And there&#8217;s a second job to cover housing&#58; Zoe will be an au pair for three children at a genuine castle in the Scottish Highlands.&#160; </p><p>But while Scotland is everything Zoe dreamed of&#8212;clear skies, brisk fresh air, blessed quiet&#8212;everything else is a bit of a mess. The Urquart family castle is grand, but crumbling, the childrens&#8217; single dad is a wreck, and the kids have been kicked out of school and left to their own devices. Zoe has her work cut out for her, and is determined to rise to the challenge, especially when she sees how happily Hari has taken to their new home.</p><p>With the help of Nina, the friendly local bookseller, Zoe begins to put down roots in the community. Are books, fresh air, and kindness enough to heal this broken family&#8212;and her own&#8230;?<strong></strong></p>
9780060580865|<P><b>Three beloved Frog and Toad books in a paperback slipcase</b></p><P>Frog and Toad are always there for each other&#8212;just as best friends should be!</p><P>From sledding in winter to eating ice cream on hot summer days, these two friends have fun together the whole year round! This collection includes the complete art and text from three classics in a paperback slipcase&#58; Caldecott Honor title <i>Frog and Toad Are Friends, </i>Newbery Honor title <i>Frog and Toad Together, </i>and <i>Frog and Toad All Year. </i></p><P>This reading collection is a Level Two I Can Read, geared toward kids who read on their own but still need a little help. </p>
9780440419396|<P><b>This Newbery Honor-winning, hilarious Floridian adventure involves new kids, bullies, alligators, eco-warriors, pancakes, pint-sized owls, and more. A <i>New York Times</i> bestseller</b>!<br><br>Everybody loves Mother Paula&rsquo;s pancakes. Everybody, that is, except the colony of cute but endangered owls that live on the building site of the new restaurant. Can the awkward new kid and his feral friend prank the pancake people out of town? Or is the owls&rsquo; fate cemented in pancake batter?<br><br>&ldquo;A wonderful tour de-force.&rdquo; &mdash;<i>The Boston Globe</i><br> &#160;<br> &ldquo;A rollicking, righteous story.&rdquo; &mdash;<i>The Miami Herald</i><br> &#160;<br> &ldquo;Yes, it <i>is</i> a hoot.&rdquo;&mdash;<i>The Washington Post</i>
9780007347742|<p>In February 1941 British Command surrendered to the Nazis. Churchill has been executed, the King is in the Tower and the SS are in Whitehall&hellip;</p><p>For nine months Britain has been occupied &#8211; a blitzed, depressed and dingy country. However, it&rsquo;s &lsquo;business as usual&rsquo; at Scotland Yard run by the SS when Detective Inspector Archer is assigned to a routine murder case. Life must go on.</p><p>But when SS Standartenfuhrer Huth arrives from Berlin with orders from the great Himmler himself to supervise the investigation, the resourceful Archer finds himself caught up in a high level, all action, espionage battle.</p><p>This is a spy story quite different from any other. Only Deighton, with his flair for historical research and his narrative genius, could have written it.</p>
9780307980564|<P>The #1 bestselling chapter book series of all time celebrates 25 years with new covers and a new, easy-to-use numbering system!<br><br> <i>Goal!</i> Jack and Annie have tickets to one of the most exciting soccer games ever&mdash;the 1970 World Cup! They are sure the famous soccer player Pel&eacute; will tell them a &ldquo;secret of greatness.&rdquo; The game is nonstop action and the stands are packed. But how will they find Pel&eacute; in a crowd of 100,000 soccer fans? Have they failed their mission? Or will the answer come when they least expect it?<br><br>Formerly numbered as Magic Tree House #52, the title of this book is now Magic Tree House Merlin Mission #24&#58;<i>&#160;Soccer on Sunday.</i><br><br> Did you know that there&rsquo;s a Magic Tree House book for every kid?<br><br> Magic Tree House&#58; Adventures with Jack and Annie, perfect for readers who are just beginning chapter books<br> <b>Merlin Missions&#58; More challenging adventures for the experienced reader</b><br> Super Edition&#58; A longer and more dangerous adventure<br> Fact Trackers&#58; Nonfiction companions to your favorite Magic Tree House adventures<br><br> Have more fun with Jack and Annie at MagicTreeHouse.com!
9780061192845|<p><strong>That hot guy tied to Lissianna Argeneau&#8217;s bed? He&#8217;s not dessert&#8212;he&#8217;s the main course!</strong></p><p>Lissianna has been spending her centuries pining for Mr. Right, not just a quick snack, and this sexy guy she finds in her bed looks like he might be a candidate. But there&#8217;s another, more pressing issue&#58; her tendency to faint at the sight of blood . . . an especially annoying quirk for a vampire. Of course, it doesn&#8217;t hurt that this man has a delicious-looking neck. What kind of cold-blooded vampire woman could resist a bite of that?</p><p>Dr. Gregory Hewitt recovers from the shock of waking up in a stranger&#8217;s bedroom pretty quickly&#8212;once he sees a gorgeous woman about to treat him to a wild night of passion. But is it possible for the good doctor to find true love with a vampire vixen, or will he be just a good meal? That&#8217;s a question Dr. Greg might be willing to sink his teeth into . . . if he can just get Lissianna to bite.</p>
9780439064866|The Dursleys were so mean that hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry.  But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike.<br><br>And strike it does.  For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockheart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny.<br><br>But each of these seem minor annoyances when the real trouble begins, and someone&#151;or something&#151;starts turning Hogwarts students to stone.  Could it be Draco Malfoy, a more poisonous rival than ever?  Could it possibly be Hagrid, whose mysterious past is finally told?  Or could it be the one everyone at Hogwarts most suspects...Harry Potter himself?
9780316040730|<P><b>Detective Mike Bennett takes on New York's most terrifying epidemic in James Patterson's gripping blockbuster novel.</b><br><br>A calculating killer who calls himself The Teacher is taking on New York City, killing the powerful and the arrogant. His message is clear&#58; remember your manners or suffer the consequences! For some, it seems that the rich are finally getting what they deserve. For New York's elite, it is a call to terror.<br><br>Only one man can tackle such a high-profile case&#58; Detective Mike Bennett. As time ticks down and his children fall ill, he has only hours to save New York from the greatest disaster in its history. From the world's #1 writer, discover an electrifying story of action, thrills, and heart-stopping suspense.
