EAN|DESCRIPTION
9780062895363|<P><b>A Best Book of the Year&#58; <i>Kirkus, Library Journal, New York Times Book Review</i></b></p><P><b>A Book of the Month Club selection &#124; An Indie Next Pick</b><b></br></b></p><P><b>FROM THE CREATOR OF THE HIT TELEVISION SHOW <i>THE KILLING</i>, THE MOST ANTICIPATED THRILLER OF THE SEASON&#8212;SOON TO BE A NETFLIX ORIGINAL SERIES.</b></p><P><b>IF YOU FIND ONE,&#160;</b><b>HE&#8217;S ALREADY FOUND YOU</b></p><P>A psychopath is terrorizing Copenhagen.</p><P>His calling card is a &#8220;chestnut man&#8221;&#8212;a handmade doll made of matchsticks and two chestnuts&#8212;which he leaves at each bloody crime scene.</p><P>Examining the dolls, forensics makes a shocking discovery&#8212;a fingerprint belonging to a young girl, a government minister&#8217;s daughter who had been kidnapped and murdered a year ago.</p><P>A tragic coincidence&#8212;or something more twisted?</p><P>To save innocent lives, a pair of detectives must put aside their differences to piece together the Chestnut Man&#8217;s gruesome clues.</p><P>Because it&#8217;s clear that the madman is on a mission that is far from over.</p><P>And no one is safe.</p>
9780316154277|<P>In MAXIMUM RIDE&#58; SAVING THE WORLD AND OTHER EXTREME SPORTS, the time has arrived for Max and her winged "Flock" to face their ultimate enemy and discover their original purpose&#58; to defeat the takeover of "Re-evolution", a sinister experiment to re-engineer a select population into a scientifically superior master race...and to terminate the rest. Max, Fang, Iggy, Nudge, Gasman, and Angel have always worked together to defeat the forces working against them&#151;but can they save the world when they are torn apart, living in hiding and captivity, halfway across the globe from one another?
9780062225245|<P><b>The #1 bestselling author and Food Network personality at last answers that age-old question&#151;&ldquo;What's for Dinner?&rdquo;&#151;bringing together more than 125 simple, scrumptious, step-by-step recipes for delicious dinners the whole family will love.</b></p><P>For families juggling school, work, and a host of other time-consuming daily obligations, the idea of making dinner from scratch can be daunting. Ree Drummond makes it easy for families to make simple, scrumptious, homemade meals with minimum fuss and maximum enjoyment. <i>The Pioneer Woman Cooks&#58; Dinnertime</i>&#160;includes delicious, easy-to-make recipes for comfort classics, 16-minute meals, freezer-friendly food, as well as soups, main dish salads, and a favorite of her own family&#58; breakfast for dinner.</p><P>You&rsquo;ll find more than 125 fast-and-delicious recipes that combine pantry staples with fresh ingredients, including Beef Stroganoff, Chicken Taco Salad, Pasta Puttanesca, Ready-to-go freezer Meatballs (and many dinners you can make with them!), Oven Barbecue Chicken, Mexican Tortilla Casserole, Veggie Chili, Beef with Snow Peas, and many, many more. Included is a section of mouthwatering quick desserts&#151;literally the icing on the cake. Filled with Ree&rsquo;s signature step-by-step photos, relatable humor, and irresistible, folksy charm, <i>The Pioneer Woman Cooks&#58; Dinnertime</i>&#160;is the go-to cookbook every home cook can rely on for any&#151;and every&#151;night of the week.</p>
9780451490414|<P><b>A Russian military strike against Europe could change the balance of power in the West. A stunningly realistic view of modern warfare from a battlefield commander and the <i>New York Times </i>bestselling author of <i>The Gray Man</i>.&#160;</b><br><br>The Russian bear has awakened. Their tanks race across Poland crushing all opposition on a headlong dash for the heart of Germany. Satellite killing missiles blind American forces while Spetznatz teams destroy Allied communications relays. It's all part of a master plan to confuse and defeat America and her allies.<br><br>Ranged against the Russian attack are a Marine lieutenant colonel pulled out of a cushy job at the Pentagon and thrown into the fray, a French Special Forces captain and his intelligence operative father, a young Polish female partisan fighter, an A-10 Warthog pilot, and the captain of an American tank platoon who, along with a German sergeant, struggle to keep a small group of American and German tanks in the fight.<br><br>Operation Red Metal is a nightmare scenario made real but could it just be the first move on the Russian chessboard?
9780061241895|<P><b>The widely adopted, now classic book on influence and persuasion&#8212;a major national and international bestseller with more than four million copies sold!</b></p><P>In this highly acclaimed&#160;<i>New York Times</i>&#160;bestseller, Dr. Robert B. Cialdini&#8212;the seminal expert in the field of influence and persuasion&#8212;explains the psychology of why people say yes and how to apply these principles ethically in business and everyday situations.</p><P>You&#8217;ll learn the six universal principles of influence and how to use them to become a skilled persuader&#8212;and, just as importantly, how to defend yourself against dishonest influence attempts&#58;</p><ol><li><b>Reciprocation</b>&#58; The internal pull to repay what another person has provided us.</li><li><b>Commitment and Consistency&#58;</b> Once we make a choice or take a stand, we work to behave consistently with that commitment in order to justify our decisions.</li><li><b>Social Proof&#58; </b>When we are unsure, we look to similar others to provide us with the correct actions to take. And the more, people undertaking that action, the more we consider that action correct.</li><li><b>Liking&#58;</b> The propensity to agree with people we like and, just as important, the propensity for others to agree with us, if we like them.</li><li><b>Authority&#58;</b> We are more likely to say &#8220;yes&#8221; to others who are authorities, who carry greater knowledge, experience or expertise.</li><li><b>Scarcity&#58;</b> We want more of what is less available or dwindling in availability.</li></ol><P>Understanding and applying the six principles ethically is cost-free and deceptively easy. Backed by Dr. Cialdini&#8217;s 35 years of evidence-based, peer-reviewed scientific research&#8212;as well as by a three-year field study on what moves people to change behavior&#8212;<i>Influence</i>&#160;is a comprehensive guide to using these principles effectively to amplify your ability to change the behavior of others.</p>
9780316360166|<P>After a family tragedy turns her life upside down, plucky high schooler Tohru Honda takes matters into her own hands and moves out...into a tent! Unfortunately for her, she pitches her new home on private land belonging to the mysterious Sohma clan, and it isn't long before the owners discover her secret. But, as Tohru quickly finds out when the family offers to take her in, the Sohmas have a secret of their own&#151;when touched by the opposite sex, they turn into the animals of the Chinese Zodiac!<br><br>A perennial favorite of fans and librarians alike, Natsuki Takaya's beloved bestselling Fruits Basket series returns to print in gorgeous deluxe English-language omnibus editions with beautiful full-color illustrations that are not to be missed!
9780062422682|<P><b>From the critically acclaimed author of <i>Allegedly</i>, Tiffany D. Jackson, comes a gripping new novel perfect for fans of E. Lockhart and Gillian Flynn about the mystery of one teenage girl&#8217;s disappearance and the traumatic effects of the truth.</b><P>Monday Charles is missing, and only Claudia seems to notice. Claudia and Monday have always been inseparable&#8212;more sisters than friends. So when Monday doesn&#8217;t turn up for the first day of school, Claudia&#8217;s worried.<P>When she doesn&#8217;t show for the second day, or second week, Claudia knows that something is wrong. Monday wouldn&#8217;t just leave her to endure tests and bullies alone. Not after last year&#8217;s rumors and not with her grades on the line. Now Claudia needs her best&#8212;and only&#8212;friend more than ever. But Monday&#8217;s mother refuses to give Claudia a straight answer, and Monday&#8217;s sister April is even less help.<P>As Claudia digs deeper into her friend&#8217;s disappearance, she discovers that no one seems to remember the last time they saw Monday. How can a teenage girl just vanish without anyone noticing that she&#8217;s gone?<P>
9780399592096|<b>#1 <i>NEW YORK TIMES </i>BESTSELLER &bull; <b>A memoir of leadership and success</b>&#58; The CEO of Disney,&#160;<i>Time</i>&rsquo;s 2019 businessperson of the year,&#160;shares the ideas and values he embraced to reinvent one of the most beloved companies in the world and inspire the people who bring the magic to life.</b> <br><br><b>NAMED ONE OF THE BEST BOOKS OF THE YEAR BY NPR</b><br><br>Robert Iger became CEO of The Walt Disney Company in 2005, during a difficult time.&#160;Competition was more intense than ever and technology was changing faster than at any time in the company&rsquo;s history.&#160;His vision came down to three clear ideas&#58; Recommit to the concept that quality matters, embrace technology instead of fighting it, and think bigger&mdash;think global&mdash;and turn Disney into a stronger brand in international markets. <br><br>Fourteen years later, Disney is the largest, most respected media company in the world, counting Pixar, Marvel, Lucasfilm, and 21st Century Fox among its properties. Its value is nearly five times what it was when Iger took over, and he is recognized as one of the most innovative and successful CEOs of our era.<br><br>In&#160;<i>The Ride of a Lifetime</i>, Robert Iger shares the lessons he&rsquo;s learned while running Disney and leading its 200,000 employees, and he explores the principles that are necessary for true leadership, including&#58;<br><br>&bull;&#160;<b>Optimism.</b>&#160;Even in the face of difficulty, an optimistic leader will find the path toward the best possible outcome and focus on that, rather than give in to pessimism and blaming.<br>&bull;&#160;<b>Courage.</b>&#160;Leaders have to be willing to take risks and place big bets. Fear of failure destroys creativity. <br>&bull;&#160;<b>Decisiveness.</b>&#160;All decisions, no matter how difficult, can be made on a timely basis. Indecisiveness is both wasteful and destructive to morale.<br> &bull;&#160;<b>Fairness.</b>&#160;Treat people decently, with empathy, and be accessible to them. <br><br>This book is about the relentless curiosity that has driven Iger for forty-five years, since the day he started as the lowliest studio grunt at ABC. It&rsquo;s also about thoughtfulness and respect, and a decency-over-dollars approach that has become the bedrock of every project and partnership Iger pursues, from a deep friendship with Steve Jobs in his final years to an abiding love of the&#160;<i>Star Wars</i>&#160;mythology.<br>&#160;<br>&ldquo;The ideas in this book strike me as universal&rdquo; Iger writes.&#160;&ldquo;Not just to the aspiring CEOs of the world, but to anyone wanting to feel less fearful, more confidently <i>themselves,</i> as they navigate their professional and even personal lives.&rdquo;
9780062511218|The long-awaited follow-up to The Language of Letting Go charts the road to life after "letting go" with 365 challenging, insightful, and delightfully warm daily lessons from the inimitable Melody Beattie, author of such bestselling self-help books as Codependent No More and The Lessons of Love.
9780061579882|<P>&#8220;<i>Deep Dish</i> is one delicious read. Mary Kay Andrews has cooked up a tale y&#8217;all will savor to the last bite. &#8221;</br>&#8212;Paula Deen</p><P>Battling TV chefs&#8212;a handsome Georgia redneck and a struggling young professional woman&#8212;find themselves competing for a coveted weekly time slot on national television in Mary Kay Andrews&#8217;s delightful <i>New York Times </i>bestseller <i>Deep Dish</i>. The incomparable Mary Kay offers heaping portions of humor, heart, and sass that fans of Fannie Flagg, Jennifer Crusie, Adriana Trigiani, Emily Giffin, and the Sweet Potato Queens simply will not be able to resist, as the winner-take-all cooking competition gets intense, especially when love ups the ante.</br></p>
9780062382641|<p><strong>Erin Hunter&#8217;s #1 nationally bestselling Warriors series continues in Warriors&#58; Omen of the Stars!</strong></p><p>This box set includes all six books in the fourth Warriors series, and is perfect for the collections of longtime Erin Hunter fans and readers new to the Warriors world. </p><p>It has been foretold that Jayfeather, Lionblaze, and Dovepaw will hold the power of the stars in their paws. But dark shadows that have long preyed on the Clans are gaining strength, and as a catastrophic battle with the Dark Forest draws near, another, more ominous prophecy comes to light&#8212;and reveals that a fourth cat must join them in order to save the Clans.</p><p>&#160;</p>
9780316477550|<P><b>A journalist's twenty-year fascination with the Manson murders leads to shocking new revelations about the FBI's involvement in this riveting reassessment of an infamous case in American history.</b> <br><br>Over two grim nights in Los Angeles, the young followers of Charles Manson murdered seven people, including the actress Sharon Tate, then eight months pregnant. With no mercy and seemingly no motive, the Manson Family followed their leader's every order-their crimes lit a flame of paranoia across the nation, spelling the end of the sixties. Manson became one of history's most infamous criminals, his name forever attached to an era when charlatans mixed with prodigies, free love was as possible as brainwashing, and utopia-or dystopia-was just an acid trip away. <br><br>Twenty years ago, when journalist Tom O'Neill was reporting a magazine piece about the murders, he worried there was nothing new to say. Then he unearthed shocking evidence of a cover-up behind the "official" story, including police carelessness, legal misconduct, and potential surveillance by intelligence agents. When a tense interview with Vincent Bugliosi-prosecutor of the Manson Family, and author of <i>Helter Skelter</i>-turned a friendly source into a nemesis, O'Neill knew he was onto something. But every discovery brought more questions&#58;<br> <ul> <li>Who were Manson's real friends in Hollywood, and how far would they go to hide their ties? <li>Why didn't law enforcement, including Manson's own parole officer, act on their many chances to stop him? <li>And how did Manson-an illiterate ex-con-turn a group of peaceful hippies into remorseless killers?</li></ul><br>O'Neill's quest for the truth led him from reclusive celebrities to seasoned spies, from San Francisco's summer of love to the shadowy sites of the CIA's mind-control experiments, on a trail rife with shady cover-ups and suspicious coincidences. The product of two decades of reporting, hundreds of new interviews, and dozens of never-before-seen documents from the LAPD, the FBI, and the CIA, CHAOS mounts an argument that could be, according to Los Angeles Deputy District Attorney Steven Kay, strong enough to overturn the verdicts on the Manson murders. This is a book that overturns our understanding of a pivotal time in American history.
9780143110637|<P>The #1 <i>New York Times </i>bestseller.<br><br><b><i>New York Times Book Review</i></b>&#160;10 Best Books of 2017<br><br><b>Pulitzer Prize winner Ron Chernow returns with a sweeping and dramatic portrait of one of our most compelling generals and presidents, Ulysses S. Grant.</b><br> &#160;<br> Ulysses S. Grant's life has typically been misunderstood. All too often he is caricatured as a chronic loser and an inept businessman, or as the triumphant but brutal Union general of the Civil War. But these stereotypes don't come close to capturing him, as Chernow shows in his masterful biography, the first to provide a complete understanding of the general and president whose fortunes rose and fell with dizzying speed and frequency.<br> &#160;<br> Before the Civil War, Grant was flailing. His business ventures had ended dismally, and despite distinguished service in the Mexican War he ended up resigning from the army in disgrace amid recurring accusations of drunkenness. But in war, Grant began to realize his remarkable potential, soaring through the ranks of the Union army, prevailing at the battle of Shiloh and in the Vicksburg campaign, and ultimately defeating the legendary Confederate general Robert E. Lee. Along the way, Grant endeared himself to President Lincoln and became his most trusted general and the strategic genius of the war effort. Grant&rsquo;s military fame translated into a two-term presidency, but one plagued by corruption scandals involving his closest staff members.<br><br> More important, he sought freedom and justice for black Americans, working to crush the Ku Klux Klan and earning the admiration of Frederick Douglass, who called him &ldquo;the vigilant, firm, impartial, and wise protector of my race.&rdquo; After his presidency, he was again brought low by a dashing young swindler on Wall Street, only to resuscitate his image by working with Mark Twain to publish his memoirs, which are recognized as a masterpiece of the genre. <br> &#160;<br> With lucidity, breadth, and meticulousness, Chernow finds the threads that bind these disparate stories together, shedding new light on the man whom Walt Whitman described as &ldquo;nothing heroic... and yet the greatest hero.&rdquo; Chernow&rsquo;s probing portrait of Grant's lifelong struggle with alcoholism transforms our understanding of the man at the deepest level. This is America's greatest biographer, bringing movingly to life one of our finest but most underappreciated presidents. The definitive biography, <i>Grant</i> is a grand synthesis of painstaking research and literary brilliance that makes sense of all sides of Grant's life, explaining how this simple Midwesterner could at once be so ordinary and so extraordinary.<br><br><b>Named one of the best books of the year by Goodreads &bull;<i> </i>Amazon <i>&bull; The New York Times</i> <i>&bull; Newsday</i> <i>&bull; </i>BookPage <i>&bull; </i>Barnes and Noble <i>&bull; Wall Street Journal</i> </b>
9780316360647|<P>Spring is in the air, and with spring comes break! When Shigure takes Tohru, Yuki, and Kyo to the Sohma's vacation home to make the most of Golden Week, the inevitable game of cat and rat is already underway, with sparks flying between Yuki and Kyo. But leave it to Tohru to smooth things over! The peace doesn't last, however, when another Sohma (or two?!) drops in! And even a vacation can't shake the rainy day that awaits the group upon their return. When a face from Kyo's past makes an appearance, he lets a shocking secret about the cat out of the bag...
9780385738934|<b>Read FALLEN, the worldwide sensation that's both dangerously exciting and darkly romantic.<br><br>#1&#160;<i>New York Times&#160;</i>bestseller&#160;<br>A&#160;<i>USA Today</i> bestseller<br>One of NPR.com's 100 Best-Ever Teen Novels<br>More than 3 million series copies in print!</b><br><br>There's something achingly familiar about Daniel Grigori.<br><br>Mysterious and aloof, he captures Luce Price's attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He's the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move.<br><br>Even though Daniel wants nothing to do with Luce--and goes out of his way to make that very clear--she can't let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret . . . even if it kills her.<br><br><b>"Sexy and fascinating and scary . . . I loved loved loved it!"--<i>New York Times</i>&#160;bestselling author P.C. Cast</b>
9780142405963|<P>"Readers who choose the book for the attraction of Navajo code talking and the heat of battle will come away with more than they ever expected to find."&mdash;<i>Booklist</i>, starred review<br><br> Throughout World War II, in the conflict fought against Japan, Navajo code talkers were a crucial part of the U.S. effort, sending messages back and forth in an unbreakable code that used their native language. They braved some of the heaviest fighting of the war, and with their code, they saved countless American lives. Yet their story remained classified for more than twenty years.<br> But now Joseph Bruchac brings their stories to life for young adults through the riveting fictional tale of Ned Begay, a sixteen-year-old Navajo boy who becomes a code talker. His grueling journey is eye-opening and inspiring. This deeply affecting novel honors all of those young men, like Ned, who dared to serve, and it honors the culture and language of the Navajo Indians.<br><br><b>An ALA Best Book for Young Adults</b><br><br>"Nonsensational and accurate, Bruchac's tale is quietly inspiring..."&mdash;<i><b>School Library Journal</b><br></i><br>
9780062385475|<P><b>#1 <i>New York Times</i> bestseller!</b></p><P><b>In this enthralling sequel to Kendare Blake&#8217;s&#160;<i>New York Times</i>&#160;bestselling&#160;<i>Three Dark Crowns</i>, Fennbirn&#8217;s deadliest queens must face the one thing standing in their way of the crown&#58; each other.</b></p><P>The battle for the crown has begun, but which of the three sisters will prevail? With the unforgettable events of the Quickening behind them and the Ascension Year underway, all bets are off.</p><P>Katharine, once the weak and feeble sister, is stronger than ever before. Arsinoe, after discovering the truth about her powers, must figure out how to make her secret talent work in her favor without anyone finding out. And Mirabella, once thought to be the strongest sister of all and the certain Queen Crowned, faces attacks like never before&#8212;ones that put those around her in danger she can&#8217;t seem to prevent.</p><P><b>Don't miss <i>Five Dark Fates</i>, the thrilling conclusion to the series, coming in September!</b></p>
9780316219181|<P><b>Now a Netflix original series!</b><br><br> <b>A deadly coup within the Wizard's Guild leaves the Witcher, Geralt of Rivia, gravely injured, and his ward Ciri missing in the third book of the <i>NYT</i> bestselling series that inspired the blockbuster video games. </b><br><br> The Wizards Guild has been shattered by a coup and, in the uproar, Geralt was seriously injured. The Witcher is supposed to be a guardian of the innocent, a protector of those in need, a defender against powerful and dangerous monsters that prey on men in dark times.<br><br>But now that dark times have fallen upon the world, Geralt is helpless until he has recovered from his injuries.<br><br>While war rages across all of the lands, the future of magic is under threat and those sorcerers who survive are determined to protect it. It's an impossible situation in which to find one girl &#151; Ciri, the heiress to the throne of Cintra &#151; until a rumor places her in the Niflgaard court, preparing to marry the Emperor.<br><br>Injured or not, Geralt has a rescue mission on his hands.<br><br> <b>Andrzej Sapkowski, winner of the World Fantasy Lifetime Achievement award, started an international phenomenon with his Witcher series&#58;</b><br><br> <b>Witcher novels</b><br><br> <i>Blood of Elves <br>The Time of Contempt<br>Baptism of Fire </i><br> <i>The Tower of Swallows</i><br> <i>Lady of the Lake</i><br> <i>Season of Storms</i><p> <b>Witcher collections</b><br> <i>The Last Wish</i><br> <i>Sword of Destiny</i><br><br> <i>The Malady and Other Stories&#58; An Andrzej Sapkowski Sampler</i> (e-only)<br><br>Translated from original Polish by David French
9780062468864|<P><b><i>Irresistible chemistry and thrilling suspense combine in this electrifying new installment in </i></b><b>New York Times<i> bestselling author Lynsay Sands&#8217; Argeneau series&#8230;</i></b></p><P>&#160;</p><P>One hundred and twenty-five years is a long time to nurse a crush. That&#8217;s how long it&#8217;s been since Beth Argenis first met Cullen &#8220;Scotty&#8221; MacDonald and he instantly became the star of her most X-rated dreams. Back then, he was rescuing her from a Rogue Immortal. Now Beth&#8217;s a Rogue Hunter&#8212;a damn good one. She doesn&#8217;t need saving anymore, despite what Scotty thinks. What she does need is the fierce, wild desire that finally erupts between them.</p><P>&#160;</p><P>Scotty has hesitated to claim Beth as his own. But one explosive kiss confirms what he&#8217;s long suspected&#58; She&#8217;s his life mate. But Beth is tough, fearless, beautiful&#8230;and in immortal danger. Unless he wants to lose her forever, he&#8217;ll have to rethink everything he once believed about love and destiny as well as confront an enemy who&#8217;s terrifyingly close.</p>
9780446551076|<P><i>"There is nothing like a golden retriever. I know, I know, it's a big planet with a lot of wonderful things, but golden retrievers are the absolute best. Mine is named Tara . . . The only problem she has ever caused is that I spend so much time with her in the mornings that I am almost invariably late for work."</i></br></br></br> </br> Whether dueling with new forensics or the local old boys' network, irreverent defense attorney Andy Carpenter always leaves them awed with his biting wit and winning fourth-quarter game plan. But Andy prefers the company of his best friend, Tara, to the people he encounters in the courtroom. Tara, a golden retriever, is clearly smarter than half the lawyers who clog the courts of Passaic County. However, just as it seems Andy has everything figured out, his dad, New Jersey's legendary ex-D.A., drops dead in front of him at a game in Yankee Stadium. The shocks pile on as he discovers his dad left him with two unexpected legacies&#58; a fortune of $22 million that Andy never knew existed . . . and a murder case with enough racial tinder to burn down City Hall. Struggling to serve justice and bring honor to his father, Andy must dig up some explosive political skeletons-and an astonishing family secret that can close his case (and his mouth) for good.
9780385735346|<P><b>Nicholas Flamel appeared in J.K. Rowling&rsquo;s Harry Potter&mdash;but did you know he really lived? And his secrets aren't safe!</b><i> </i><b>Discover the truth in book five of Michael Scott&rsquo;s <i>New York Times</i> bestselling series the Secrets of the Immortal Nicholas Flamel.</b> <br><br> <u>The Oaths&#58;</u> Many have made them.<br><br> <u>The Betrayals&#58;</u> Almost as many will undo them.<br><br>The twins of prophecy have been divided&#151;the end has begun.<br>&#160; Josh Newman has chosen a side, and he will not stand with his sister, Sophie, or the Alchemyst, Nicholas Flamel. He will fight alongside Dee and the mysterious Virginia Dare.<br>&#160; With San Francisco on the bring of ruin at the hands of Machiavelli, and Billy the Kid, Scatty, and Joan of Arc in another dimension called the Shadowrealm, the world stands at the edge of destruction. It is up to Sophie alone to find her twin before the battle begins pr all is lost&mdash;forever.<br> &#160;<br>&ldquo;The Secrets of the Immortal Nicholas Flamel has <b>everything you loved about Harry Potter</b>, including <b>magic, mystery, and a constant battle of good versus evil.</b>&rdquo;&mdash;<i>Bustle</i><br><br><b><u>Read the whole series!</u></b><br> <i>The Alchemyst</i><br> <i>The Magician</i><br> <i>The Sorceress</i><br> <i>The Necromancer</i><br> <i>The Warlock</i><br> <i>The Enchantress</i>
9780345543042|<P><b><i>NEW YORK TIMES </i>BESTSELLER &bull;&#160;From Janet Evanovich, #1&#160;bestselling author of the Stephanie Plum novels, and Lee Goldberg, bestselling author and television writer for <i>Monk, </i>comes the first adventure in an electrifying series featuring an FBI agent who always gets her man, and a fearless con artist who lives for the chase.</b><br> &#160;<br>FBI Special Agent Kate O&rsquo;Hare is known for her fierce dedication and discipline on the job, chasing down the world&rsquo;s most wanted criminals and putting them behind bars. Her boss thinks she is tenacious and ambitious; her friends think she is tough, stubborn, and maybe even a bit obsessed. And while Kate has made quite a name for herself for the past five years the only name she&rsquo;s cared about is Nicolas Fox&mdash;an international crook she wants in more ways than one.&#160; &#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; <br> &#160;<br> Audacious, handsome, and dangerously charming, Nicolas Fox is a natural con man, notorious for running elaborate scams on very high-profile people. At first he did it for the money. Now he does it for the thrill. He knows that the FBI has been hot on his trail&mdash;particularly Kate O&rsquo;Hare, who has been watching his every move. For Nick, there&rsquo;s no greater rush than being pursued by a beautiful woman . . . even one who aims to lock him up. But just when it seems that Nicolas Fox has been captured for good, he pulls off his greatest con of all&#58; He convinces the FBI to offer him a job, working side by side with Special Agent Kate O&rsquo;Hare.<br> &#160;<br> Problem is, teaming up to stop a corrupt investment banker who&rsquo;s hiding on a private island in Indonesia is going to test O&rsquo;Hare&rsquo;s patience and Fox&rsquo;s skill. Not to mention the skills of their ragtag team made up of flamboyant actors, wanted wheelmen, and Kate&rsquo;s dad. High-speed chases, pirates, and Toblerone bars are all in a day&rsquo;s work . . . if O&rsquo;Hare and Fox don&rsquo;t kill each other first.<br><br><b>Praise for <i>The Heist</i></b><br> <b>&#160;</b><br> &ldquo;<i>The Heist</i> is the perfect title to carry on a trip to the beach. The laugh out loud humor that readers expect from Evanovich is in full force, and Goldberg&rsquo;s crafty and elaborate writing is prominent. . . . Everyone will be eager for the next book in the series.&rdquo;<b>&mdash;Associated Press</b><br> &#160;<br> &ldquo;The action is fast-paced and the writing is first-rate, making <i>The Heist</i> an excellent choice for vacation reading.&rdquo;<b>&mdash;Huntington News</b><br><br><b>The hardcover edition of <i>The Heist </i>contains stickers&mdash;&ldquo;I &lsquo;Heart&rsquo; Plum&rdquo; and &ldquo;The Con Is On&rdquo;&mdash;and a sneak peek from the next Stephanie Plum novel!</b>
9780061436741|In her most highly acclaimed book to date, Kingsolver presents a compelling exploration of religion, conscience, imperialist arrogance, and the many paths to redemption, telling the story of an American missionary and his family in the Congo in 1959.
9780307960344|<b>The Poky Little Puppy, the beloved Little Golden Books' classic character, celebrates his first Christmas in this perfect stocking stuffer!</b><br><br> It&rsquo;s the Poky Little Puppy&rsquo;s first Christmas, and he&rsquo;s not sure what to expect. When he meets an animal friend who&rsquo;s lost his home, Poky&rsquo;s quick to help&ndash;and learns all about the spirit of Christmas.<br><br> Whether you've known the Poky Little Puppy for years or whether you're meeting him for the first time, you'll want to include this holiday treasure as a gift for the little&ndash;and not so little&ndash;ones in your life!
9780394856391| <H1><br><br></H1><br><br><p>  "The room shared by Brother and Sister is a mess because the cubs argue<br><br>over who should neaten up instead of working together. Sure to make toddlers<br><br>smile while they absorb an implied lesson."&#151;<i>Publishers Weekly.</i> <br><br></p><br><br></body></html><br>
9780143039976|<P><b>Shirley Jackson's beloved gothic tale of a peculiar girl named Merricat and her family's dark secret</b><br><br>Taking readers deep into a labyrinth of dark neurosis, <i>We Have Always Lived in the Castle</i> is a deliciously unsettling novel about a perverse, isolated, and possibly murderous family and the struggle that ensues when a cousin arrives at their estate. This edition features a new introduction by Jonathan Lethem.<br><br>For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700&#160;titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the&#160;series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date&#160;translations by award-winning translators.
9780061120060| Fair and long-legged, independent and articulate, Janie Crawford sets out to be her own person &#151; no mean feat for a black woman in the &#39;30s. Janie&#39;s quest for identity takes her through three marriages and into a journey back to her roots.<P>Author Biography&#58;  In her award-winning autobiography, <I>Dust Trackson a Road</I> (1942), Zora Neale Hurston claimed to have been born inEatonville, Florida, in 1901. She was, in fact, born in Notasulga, Alabama, onJanuary 7, 1891, the fifth child of John Hurston (farmer, carpenter, and Baptistpreacher) and Lucy Ann Potts (school teacher). The author of numerous books,including <I>Their Eyes Were Watching God,</I> <I>Jonah's Gourd Vine,</I> <I>Mulesand Men,</I> and <I>Moses, Man of the Mountain,</I> Hurston had achieved fameand sparked controversy as a novelist, anthropologist, outspoken essayist,lecturer, and theatrical producer during her sixty-nine years. Hurston's finestwork of fiction appeared at a time when artistic and politicalstatements&#151;whether single sentences or book-length fictions&#151;were peculiarlyconflated. Many works of fiction were informed by purely political motives;political pronouncements frequently appeared in polished literary prose. AndHurston's own political statements, relating to racial issues or addressingnational politics, did not ingratiate her with her black male contemporaries.The end result was that <I>Their Eyes Were Watching God</I> went out of printnot long after its first appearance and remained out of print for nearly thirtyyears. Henry Louis Gates, Jr., has been one among many to ask&#58; "How couldthe recipient of two Guggenheims and the author of four novels, a dozen shortstories,two musicals, two books on black mythology, dozens of essays, and aprizewinning autobiography virtually 'disappear' from her readership for threefull decades?"<P>That question remains unanswered. The fact remains thatevery one of Hurston's books went quickly out of print; and it was only throughthe determined efforts, in the 1970s, of Alice Walker, Robert Hemenway (Hurston'sbiographer), Toni Cade Bambara, and other writers and scholars that all of herbooks are now back in print and that she has taken her rightful place in thepantheon of American authors.<P>In 1973, Walker, distressed that Hurston's writings hadbeen all but forgotten, found Hurston's grave in the Garden of Heavenly Rest andinstalled a gravemarker. "After loving and teaching her work for a numberof years," Walker later reported, "I could not bear that she did nothave a known grave." The gravemarker now bears the words that Walker hadinscribed there&#58;<P>ZORA NEALE HURSTON<BR>GENIUS OF THE SOUTH<BR>NOVELIST FOLKLORIST ANTHROPOLOGIST<BR>(1891-1960)<P>In Brief<BR>Zora Neale Hurston (1891-1960) was a novelist, folklorist, and anthropologist whose fictional and factual accounts of black heritage are unparalleled. She Is the author of many books, including <I>Their Eyes Were Watching God, Dust Tracks on a Road, Tell My Horse,</I> and <I>Mules and Men.</I>
9780399575709|<P><b>Joe Pickett&rsquo;s pursuit of a killer through the rugged mountains of Wyoming takes a horrifying turn when his beloved foster daughter is kidnapped in this thriller in the #1 <i>New York Times</i> bestselling series.</b><br><br>It's an hour away from darkness, a bitter winter storm is raging, and Joe Pickett is deep in the forest edging Battle Mountain, shotgun in his left hand, his truck's detached steering wheel handcuffed to his right&mdash;and Lamar Gardiner's arrow-riddled corpse splayed against the tree in front of him. Lamar's murder and the sudden onslaught of the snowstorm warn&#58; Get off the mountain. But Joe knows this episode is far from over. And when his own daughter gets caught up in his hunt for the killer, Joe will stop at nothing to get her back...
